root,root_node,,,,,,,,,,,,,,,,,,,,,,,,root,,root
8dffcf89-bd19-4e98-8f9b-331763af83a4,Pressed Material,,,,,,,,,,,,,,,,,,,,,,,A material pressed with a pellet press set,material_template,,material_template
5b480cad-599f-466e-acb2-7381d87c5399,Purchased Raw Material,,,,,,,,,,,,,,,,,,,,,,,A raw material purchased from a manufacturer,material_template,,material_template
bbea2903-d403-41e3-803a-99120ac341d9,Heated Material,,,,,,,,,,,,,,,,,,,,,,,"A material produced from a Partlow heating process, whether for purification, synthesis or else",material_template,,material_template
da1858ab-8d26-448c-b64f-687876cbc0dc,Chunked Material,,,,,,,,,,,,,,,,,,,,,,,A material chunked into small pieces to attain specific mass and/or volume,material_template,,material_template
a6eedc72-0725-4d47-9d1f-125fc14362b5,Ground Material,,,,,,,,,,,,,,,,,,,,,,,A material ground into a powder,material_template,,material_template
a2a4b868-588c-4a24-8f67-0ba5476e8ea4,Pressing Material,,,,,,,,,,,,,,,,,,,,,,,Pressing materials with pellet pressing equipment to transform into pellets,process_template,,process_template
6637282e-c51a-466c-8502-cef0c5a56825,Heating,,,,,,,,,,,,,,,,,,,,,,,"Heating something in the box furnace with 
                   a max temperature and tuning of ramp up/down",process_template,,process_template
5056e434-37c0-408e-97d3-9c658a851f32,Chunking Material,,,,,,,,,,,,,,,,,,,,,,,"Chunking mass of a material to match some mass, volume or other characteristic",process_template,,process_template
30c48a8b-9fc0-4655-a11a-b1f7dabfdcf4,Purchasing Raw Material,,,,,,,,,,,,,,,,,,,,,,,Purchasing any particular raw material from a manufacturer,process_template,,process_template
da630073-4e03-474c-9dfb-4155fe5344d3,Setting Pellets,,,,,,,,,,,,,,,,,,,,,,,"Setting up pellets for experience with appropriate location, distance, or equipment specifications  ",process_template,,process_template
0831649c-d4de-4729-b40d-e95fd9bbca51,Sealing Vessel,,,,,,,,,,,,,,,,,,,,,,,Sealing vessel of reaction according to desired lay out,process_template,,process_template
ffb8cc1f-1ba2-42b9-88ad-2e7682cc958f,Quenching Tube,,,,,,,,,,,,,,,,,,,,,,,Removing tube from tube furnacew with tongs to grab the tube wrapped with wire and submerge in water,process_template,,process_template
28d6f20f-c8ae-443e-90c5-795ea29aac85,Grinding Material,,,,,,,,,,,,,,,,,,,,,,,Grinding a material into a powder,process_template,,process_template
ecd8f56f-dd33-4de4-b0a4-5a0cdfac0704,Temperature Measurement,,,,,,,,,,,,,,,,,,,,,,,Measuring the temperature of pellets (=temperature gradient of tube) in a tube furnace heating ,measurement_template,,measurement_template
868198ab-566a-4eb5-9866-09a121d38014,X-Ray Diffraction,,,,,,,,,,,,,,,,,,,,,,,Applying x-ray diffraction to discover structure and properties of a material ,measurement_template,,measurement_template
aeb8081b-d8a4-47e5-9fd6-fd5e9bdcb5a1,Duration,,0,96,hour,,,,,,,,,,,,,,,,,,,"Duration of any process, measurement, etc. In our case, it is often used for durations of dwell and ramp up/down times in heating phases, but can also be used to specify measurement/process duration",parameter_template,,parameter_template
b106d015-b2bd-40f6-ae01-7b945567b2f0,Manufacturer,,,,,,,,,,,,,,,,,,,,,,,The name of the manufacturer from which a raw material was ordered,parameter_template,,parameter_template
c837c92a-cbd0-4e6f-b976-9ffe1682ffdb,Furnace Temperature,,0,1100,degree_Celsius,,,,,,,,,,,,,,,,,,,The temperature of a heating phase in a furnace. Can be dynamic with a schedule or fixed like a pre-heating temperature,parameter_template,,parameter_template
0471f9aa-d24d-4598-ac94-02c6dd1c8d1d,Equipment Used,,,,,,,,,,,,,,,,,,,,,,,A parameter describing the equipment used in a particular process or measurement,parameter_template,,parameter_template
f1208f5d-1f89-4caf-9246-80bf9072a35b,Lot ID,,,,,,,,,,,,,,,,,,,,,,,The particular Lot of a material purchased from a manufacturer,parameter_template,,parameter_template
7b383ee6-0886-4c64-8d32-6d2debfc12e2,Time of Event,,0,96,hour,,,,,,,,,,,,,,,,,,,"time at which an event occurs. Can be relative to the start/end of a process, or absolute, however specified",parameter_template,,parameter_template
85546fe9-ce12-41fd-9c4f-b2d4a2b21986,Furnace Rate,,0,1100,degree_Celsius,,,,,,,,,,,,,,,,,,,The rate at which the furnace is heated/cooled during a heating phase,parameter_template,,parameter_template
ada74071-1e76-4ba6-aaaf-3e7f09c2c806,Form,,,,,,,,,,,,,,,,,,,,,,,The form of a particular material,property_template,,property_template
b7b81365-2d4e-41b5-8979-55f29f9186f0,Purity Percentage,,0.0,100.0,dimensionless,,,,,,,,,,,,,,,,,,,The purity of a particular material as a percentage (not defined in GEMD),property_template,,property_template
431e116c-dbcf-4927-9100-7e175cdf0342,Atmosphere,,,,,,,,,,,,,,,,,,,,,,,A condition describing the atmosphere in which a process occurs,condition_template,,condition_template
00de68f0-57d8-42fc-b5f4-4a1f21d7dc68,Location,,,,,,,,,,,,,,,,,,,,,,,A condition describing the location in which a process or measurement is performed,condition_template,,condition_template
categorical 0,Alfa Aesar,,,,,,,,,,,,,,,,,,,,,,,,categorical_bounds,,categorical_bounds
categorical 1,Thermo Scientific,,,,,,,,,,,,,,,,,,,,,,,,categorical_bounds,,categorical_bounds
categorical 2,Yeemeida Technology Co. LTD,,,,,,,,,,,,,,,,,,,,,,,,categorical_bounds,,categorical_bounds
categorical 3,Mortar and Pestle,,,,,,,,,,,,,,,,,,,,,,,,categorical_bounds,,categorical_bounds
categorical 4,Nichrome Wire,,,,,,,,,,,,,,,,,,,,,,,,categorical_bounds,,categorical_bounds
categorical 5,Pellet Press Set,,,,,,,,,,,,,,,,,,,,,,,,categorical_bounds,,categorical_bounds
categorical 6,Quartz Tube,,,,,,,,,,,,,,,,,,,,,,,,categorical_bounds,,categorical_bounds
categorical 7,Quartz Wool,,,,,,,,,,,,,,,,,,,,,,,,categorical_bounds,,categorical_bounds
categorical 8,Thermocouple,,,,,,,,,,,,,,,,,,,,,,,,categorical_bounds,,categorical_bounds
categorical 9,Tongs,,,,,,,,,,,,,,,,,,,,,,,,categorical_bounds,,categorical_bounds
categorical 10,Torch,,,,,,,,,,,,,,,,,,,,,,,,categorical_bounds,,categorical_bounds
categorical 11,Tube Sealing Station,,,,,,,,,,,,,,,,,,,,,,,,categorical_bounds,,categorical_bounds
categorical 12,R04D028,,,,,,,,,,,,,,,,,,,,,,,,categorical_bounds,,categorical_bounds
categorical 13,R10H008,,,,,,,,,,,,,,,,,,,,,,,,categorical_bounds,,categorical_bounds
categorical 14,W19F006,,,,,,,,,,,,,,,,,,,,,,,,categorical_bounds,,categorical_bounds
categorical 15,X17C007,,,,,,,,,,,,,,,,,,,,,,,,categorical_bounds,,categorical_bounds
categorical 16,Amorphous,,,,,,,,,,,,,,,,,,,,,,,,categorical_bounds,,categorical_bounds
categorical 17,Chunk,,,,,,,,,,,,,,,,,,,,,,,,categorical_bounds,,categorical_bounds
categorical 18,Chunk and Powder,,,,,,,,,,,,,,,,,,,,,,,,categorical_bounds,,categorical_bounds
categorical 19,Crystal,,,,,,,,,,,,,,,,,,,,,,,,categorical_bounds,,categorical_bounds
categorical 20,Ingot,,,,,,,,,,,,,,,,,,,,,,,,categorical_bounds,,categorical_bounds
categorical 21,Pellet,,,,,,,,,,,,,,,,,,,,,,,,categorical_bounds,,categorical_bounds
categorical 22,Pieces,,,,,,,,,,,,,,,,,,,,,,,,categorical_bounds,,categorical_bounds
categorical 23,Powder,,,,,,,,,,,,,,,,,,,,,,,,categorical_bounds,,categorical_bounds
categorical 24,Powder -325 mesh,,,,,,,,,,,,,,,,,,,,,,,,categorical_bounds,,categorical_bounds
categorical 25,Solid,,,,,,,,,,,,,,,,,,,,,,,,categorical_bounds,,categorical_bounds
categorical 26,resublimed crystals,,,,,,,,,,,,,,,,,,,,,,,,categorical_bounds,,categorical_bounds
categorical 27,Air,,,,,,,,,,,,,,,,,,,,,,,,categorical_bounds,,categorical_bounds
categorical 28,Inner Atmosphere Glovebox,,,,,,,,,,,,,,,,,,,,,,,,categorical_bounds,,categorical_bounds
categorical 29,Bucket,,,,,,,,,,,,,,,,,,,,,,,,categorical_bounds,,categorical_bounds
categorical 30,Purification Tube Furnace,,,,,,,,,,,,,,,,,,,,,,,,categorical_bounds,,categorical_bounds
categorical 31,Synthesis Tube Furnace,,,,,,,,,,,,,,,,,,,,,,,,categorical_bounds,,categorical_bounds
categorical 32,Three Zones Tube Furnace,,,,,,,,,,,,,,,,,,,,,,,,categorical_bounds,,categorical_bounds
categorical 33,X-Ray Diffraction Panel,,,,,,,,,,,,,,,,,,,,,,,,categorical_bounds,,categorical_bounds
94a5f1f0-18c7-42d3-b02b-974d58bab490,Synthesized NbSe2,,,,,,,,,,,,,,,,,,,,,,,,material_spec,,material_spec
7239a019-78c9-4340-aaa1-7387933c7c18,"Ground EuS, Nb and Se mix",,,,,,,,,,,,,,,,,,,,,,,,material_spec,,material_spec
47397f33-41e7-4a63-95f9-9283e5b8e458,Sulfur,,,,,Purity Percentage,99.999,dimensionless,,,,,,,,,,,,,,,,,material_spec,,material_spec
a1fccd98-7694-496d-aea0-6115d4a6cf50,Iodine,,,,,Purity Percentage,99.8,dimensionless,,,,,,,,,,,,,,,,,material_spec,,material_spec
b60464fe-f0e2-4ec9-9440-2cddb3f92dbd,Ground Purified Sulfur,,,,,,,,,,,,,,,,,,,,,,,,material_spec,,material_spec
a0489646-8dd8-4fb2-9227-ac2fe06c96e2,EusNb2Se4 pellets (vessel),,,,,,,,,,,,,,,,,,,,,,,,material_spec,,material_spec
7b97c835-0c40-4cc5-abc1-b536805b5d38, Quenched EusNb2Se4 pellets (heated in sealed vessel),,,,,,,,,,,,,,,,,,,,,,,,material_spec,,material_spec
a280a971-97ea-4049-aabc-cc34028d38d5,Ground Purified Selinium,,,,,,,,,,,,,,,,,,,,,,,,material_spec,,material_spec
732b48dd-d75e-447d-a0a3-374eb5fe733f,Purified Sulfur,,,,,,,,,,,,,,,,,,,,,,,,material_spec,,material_spec
9dbaf8ca-0411-4b83-93eb-3c3b1fc34761,Ground NbSe2 Mixture,,,,,,,,,,,,,,,,,,,,,,,,material_spec,,material_spec
14642d52-b6a9-410c-a277-fc2b926aee02, Quenched EusNb2Se4 pellets (heated in sealed vessel),,,,,,,,,,,,,,,,,,,,,,,,material_spec,,material_spec
769ad023-a2be-4fbf-9c48-74d73cc2bfbf,EusNb2Se4 pellets (vessel),,,,,,,,,,,,,,,,,,,,,,,,material_spec,,material_spec
d3600a63-02ff-416f-a167-b4e9270770ab,Chunked Europium,,,,,,,,,,,,,,,,,,,,,,,,material_spec,,material_spec
5a083bcc-b3d8-4793-a934-07915d8e4452,Synthesized EuS,,,,,,,,,,,,,,,,,,,,,,,,material_spec,,material_spec
53138410-9594-489f-8f84-be0b8f39d51d,Niobium,,,,,Purity Percentage,99.8,dimensionless,,,,,,,,,,,,,,,,,material_spec,,material_spec
9cafa40b-443a-4be9-9f2d-dffa3cc8ee80,Selenium,,,,,Purity Percentage,99.999,dimensionless,,,,,,,,,,,,,,,,,material_spec,,material_spec
409f13d9-c62d-4a58-8aab-2d17491669bf,Purified Selinium,,,,,,,,,,,,,,,,,,,,,,,,material_spec,,material_spec
0eeeb22b-d0eb-47fa-a42c-8774c0ef3be1,Ground EuS and NbSe2 mix,,,,,,,,,,,,,,,,,,,,,,,,material_spec,,material_spec
375fc66a-9b79-4f70-911a-dac0b39ed202,EusNb2Se4 pellets (sealed vessel),,,,,,,,,,,,,,,,,,,,,,,,material_spec,,material_spec
4c61d449-f67d-40f1-899a-ea6a859704c3,EusNb2Se4 pellets,,,,,,,,,,,,,,,,,,,,,,,,material_spec,,material_spec
adf772cd-fa7c-4d52-917a-3faf8151fe83,EusNb2Se4 pellets (heated in sealed vessel),,,,,,,,,,,,,,,,,,,,,,,,material_spec,,material_spec
34a4e394-1915-4683-b2a6-a1a0dba2de4a,Ground Synthesized EuS,,,,,,,,,,,,,,,,,,,,,,,,material_spec,,material_spec
792465c3-270f-4644-84ef-a7dfc40f7795,EusNb2Se4 pellets,,,,,,,,,,,,,,,,,,,,,,,,material_spec,,material_spec
d96873b0-7426-403b-8a0d-3eb5816e7c34,EusNb2Se4 pellets (heated in sealed vessel),,,,,,,,,,,,,,,,,,,,,,,,material_spec,,material_spec
7de47bbf-3329-47c4-adaa-f049f94b8e41,EusNb2Se4 pellets (sealed vessel),,,,,,,,,,,,,,,,,,,,,,,,material_spec,,material_spec
10e3ccfe-8ff0-4139-be1e-ef2b2fc7fd65,Europium,,,,,Purity Percentage,99.995,dimensionless,,,,,,,,,,,,,,,,,material_spec,,material_spec
4b64c5aa-9cdb-4fdc-8b71-065c0c72ab6f,EusNb2Se4 pellets (sealed vessel) Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
0db4a2d7-ee84-40de-891f-c18f8712e650,Sulfur Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
c4640916-32a7-46f5-9581-4ef25c5e50e9,Niobium Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
85f14511-68df-46ac-a612-23b5fa6ec25d,Ground Purified Selinium Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
93caf0ed-04cf-45f7-a434-e36db463d36c,Ground Purified Sulfur Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
3e90dbf4-7ec9-42b6-b558-31d44a0c90ee,Chunked Europium Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
e01f395b-2e4e-4fed-8c60-effbb19dfca9,Purified Sulfur Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
b055b900-25b6-4510-a294-ea0e6bb374b7,Ground EuS and NbSe2 mix Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
47ba4e29-2ac8-493f-818d-21f9acac74ed,Ground Synthesized EuS Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
cb813f67-1503-4e2a-a761-5cb0967ba1f2,Ground Purified Selinium Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
a9846ca7-3414-4da7-acf7-656a596099ce,EusNb2Se4 pellets (heated in sealed vessel) Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
9aec6466-52ea-4d32-a45a-f7ff123d1c06, Europium Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
ddbd0dc6-c594-478c-b56a-c735693abfcb,Synthesized EuS Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
51145cb9-3635-43f0-b441-cb06dcd94bad,"Ground EuS, Nb and Se mix Ingredient",,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
08884a4a-8e00-4861-8ca4-f8f001c6a5ea,Niobium Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
3242cbb2-fb6d-4246-80f6-8b1fef94b934,EusNb2Se4 pellets (vessel) Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
8e9d9c87-e8d4-4926-94ea-37a7944278be,Ground NbSe2 Mixture Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
5e3a322c-70e4-4024-888b-3a92fce47449,EusNb2Se4 pellets Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
3322faa3-b37a-4149-888b-f429566b3f32,Selenium Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
f4f151a5-93b8-4012-8fca-4396006fea9f,EusNb2Se4 pellets Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
17701233-7557-4ca3-bc6c-295b7fe6bbc2,EusNb2Se4 pellets (heated in sealed vessel) Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
4767698c-c078-40b3-bef1-cd43c67d52a3,Iodine Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
f5582503-17b5-4092-89df-f284a0cf5f35,Ground Synthesized EuS Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
f3ddea55-a248-4bc9-9b15-6791d49b6d90,Purified Selinium Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
84ad56b5-6d9d-4644-8366-55592f1cb507,EusNb2Se4 pellets (vessel) Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
81046d91-0e99-4d9e-8ab0-422d5f772d28,Synthesized NbSe2 Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
b0348186-4b68-4c09-bbbb-120cea1e8465,EusNb2Se4 pellets (sealed vessel) Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_spec,,ingredient_spec
3ad6f87d-862f-47e3-87dd-4d9e2a52eeb1,Grinding Synthesized EuS,,,,,,,,,,,,,,,,,,,,,,,,process_spec,,process_spec
1603c6be-221e-4708-9b61-6bc15b456be8,Grinding Purified Selinium,,,,,,,,,,,,,,,,,,,,,,,,process_spec,,process_spec
0902477f-1adf-49f6-9af7-aef1ff905d38,Heating EusNb2Se4 pellets (sealed vessel),,,,,dwell_1_time,72.0,hour,dwell_1_temperature,800.0,degree_Celsius,,,,,,,,,,,,,,process_spec,,process_spec
bd5c60f1-51b9-4386-ac8d-a3d68a782864,Purchasing Sulfur,,,,,,,,,,,,,,,,,,,,,,,,process_spec,,process_spec
4ac91361-5354-4dee-ab20-053a026ccb2e,Purchasing Niobium,,,,,,,,,,,,,,,,,,,,,,,,process_spec,,process_spec
1eecf772-cafd-4bee-926c-d725b74901df, Quenching EusNb2Se4 pellets (heated in sealed vessel),,,,,Quenching Duration,15.0,second,,,,,,,,,,,,,,,,,process_spec,,process_spec
3fdb9ec8-586e-471d-bd53-7c603d58dd5a,"Heating Chunked Europium,Ground Purified Sulfur",,,,,ramp_up_1_time,0.9,hour,ramp_up_1_rate,100.0,degree_Celsius,dwell_1_time,0.0,hour,dwell_1_temperature,90.0,degree_Celsius,ramp_up_2_time,0.8333333333333334,hour,ramp_up_2_rate,50.0,degree_Celsius,,process_spec,,process_spec
8872785b-d55d-4132-98f2-3e2ffbf1c36b,Purchasing Europium,,,,,,,,,,,,,,,,,,,,,,,,process_spec,,process_spec
